event_date,device_category,operating_system,event_name,page_location,page_referrer,firebase_screen,firebase_previous_screen,sn,sr,app_version,event_count,user_pseudo_id_count
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Overview.847466,,HK.SR2.Overview.847466,sr2Tab,7.8.0,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.882534,,HK.Takeaway.order.882534,sr2Tab,7.13.0,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.501851,,HK.SR2.Overview.501851,,7.6.1,1,1
2026-09-13,mobile,Android,user_media_fullscreen,,,HK.Sr2.Reel.photo.29062713,,,,7.6.0,1,1
2026-09-13,mobile,iOS,user_media_info,,,HK.SR2.Reel.media.54924,,HK.SR2.Reel.media.54924,Reel,7.11.1,1,1
2026-09-13,mobile,iOS,or_poi_doorPhoto,,,HK.SR2.Overview.11321,,HK.SR2.Overview.11321,Others,7.5.1,1,1
2026-09-13,mobile,iOS,or_poi_suggest_poi,,,HK.SR2.Overview.50643,,,,7.12.3,2,1
2026-09-13,mobile,Android,or_search_adv,,,HK.AdvSearch.SR1.4,,,,6.2.1,1,1
2026-09-13,mobile,iOS,or_search_quick,,,HK.Photo.SR1.1,,HK.Photo.SR1.1,search_key_in,7.9.6,1,1
2026-09-13,mobile,Android,or_suggestedRestaurant_get_poi,,,HK.SR2.overview.739091,,,sr2suggest,6.3.3,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Overview.1107540,,HK.SR2.Overview.1107540,sr2Tab,7.9.5,1,1
2026-09-13,mobile,iOS,or_poi_phone,,,HK.SR2.Overview.761333,,,sr2basic,7.15.0,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.1008912,,HK.SR2.Overview.1008912,sr2allphoto,7.5.3,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.617393,,HK.SR2.Overview.617393,,7.9.5,1,1
2026-09-13,mobile,iOS,or_search_tablemap,,,HK.TM.SR1.1,,HK.TM.SR1.1,biz,7.12.3,7,2
2026-09-13,mobile,iOS,or_deeplink_get_poi,,,HK.SR2.Overview.549764,,,,7.11.0,1,1
2026-09-13,mobile,iOS,or_explore,,,HK.Explore.5,,HK.Explore.5,btmBar,7.17.1,1,1
2026-09-13,mobile,iOS,or_poi_review_smile,,,HK.SR2.review.ok.660740,,HK.SR2.review.ok.660740,sr2reviewTab,7.10.0,1,1
2026-09-13,mobile,iOS,or_tm_menu_offer_detail,,,HK.TM.Menu.Offer.List.869998,,HK.TM.Menu.Offer.List.869998,BookingMenuSR1,7.10.3,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.video.others.553546,,HK.SR2.video.others.553546,sr2PhotoTab,7.4.3,1,1
2026-09-13,mobile,iOS,or_poi_phone,,,HK.SR2.Overview.564474,,,sr2info,7.15.0,1,1
