SessionId,DeviceId,event_timeline
10650,029c3705953a0a62,"or.app.start: 開啟 App -> or.app.start: 開啟 App -> or.app.start: 開啟 App -> or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> user.review.write: 撰寫評論 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.poi.get-photos.food: 載入餐廳食物相片 -> poi.emenu.get-item: 瀏覽餐點 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App

"
119842,1daf763b-8da1-4b2f-b824-12d558a8ffda,"or.app.resume: 返回 App -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> user.bookmark.poi: 新增收藏 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App -> or.app.openpush: 從 push notification 開啟 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App

"
123448,1ea45fc0-b9e7-4835-8ebe-223344650e0a,"or.app.resume: 返回 App -> or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> or.search.quick: 搜尋餐廳 -> or.app.resume: 返回 App -> view.SR1.Promotion: 查看搜尋結果中的推廣內容 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> or.poi.get-details: 載入 POI 詳情 -> or.search.get-poi: 從搜尋結果進入 POI -> or.poi.get-overview: 載入 POI 概覽 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.app.resume: 返回 App -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App -> or.app.resume: 返回 App

"
127050,1f894cab868b116f,"or.poi.get-details: 載入 POI 詳情 -> or.poi.get-overview: 載入 POI 概覽 -> or.poi.get-details: 載入 POI 詳情 -> or.poi.get-overview: 載入 POI 概覽 -> or.poi.back: 離開 POI 頁面 -> or.poi.back: 離開 POI 頁面 -> or.search.quick: 搜尋餐廳 -> impression.poi: POI 曝光 -> or.search.quick: 搜尋餐廳 -> or.search.layer: 搜尋頁面操作 -> or.search.layer: 搜尋頁面操作 -> or.qcksearch: 開啟快速搜尋 -> impression.poi: POI 曝光 -> or.search.layer: 搜尋頁面操作 -> or.search.layer: 搜尋頁面操作 -> or.qcksearch: 開啟快速搜尋 -> or.search.layer.record: 使用搜尋紀錄 -> or.poi.get-details: 載入 POI 詳情 -> or.poi.get-overview: 載入 POI 概覽 -> or.search.layer.record: 使用搜尋紀錄 -> or.poi.get-details: 載入 POI 詳情 -> or.poi.get-overview: 載入 POI 概覽 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.takeaway.order: 進入外賣自取點餐頁 -> or.poi.get-photos.food: 載入餐廳食物相片 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.poi.get-photos.food: 載入餐廳食物相片 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> poi.emenu.get-item: 瀏覽餐點 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.takeaway.place-order: 確認下單 -> or.takeaway.pay: 付款 -> or.takeaway.pay: 付款

"
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,"or.app.resume: 返回 App -> or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> or.search.quick: 搜尋餐廳 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> or.poi.get-details: 載入 POI 詳情 -> or.search.get-poi: 從搜尋結果進入 POI -> or.poi.get-overview: 載入 POI 概覽 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.app.resume: 返回 App -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App

"
240829,3bc6f903023545c0,"or.app.start: 開啟 App -> or.app.start: 開啟 App -> or.search.themelist.takeaway: 進入外賣自取餐廳列表 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.poi.get-photos.food: 載入餐廳食物相片 -> poi.emenu.get-item: 瀏覽餐點 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.start: 開啟 App -> or.app.openpush: 從 push notification 開啟 App

"
241938,3c09a1ff-e829-4900-a029-8fb5d8bcc6bf,"or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> or.search.layer: 搜尋頁面操作 -> or.search.quick: 搜尋餐廳 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.app.resume: 返回 App -> or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> or.search.quick: 搜尋餐廳 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> or.poi.get-details: 載入 POI 詳情 -> or.search.get-poi: 從搜尋結果進入 POI -> or.poi.get-overview: 載入 POI 概覽 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App -> or.myor.orderList: 載入「我的訂單」列表

"
252253,3ea40686-e25e-4ccb-9887-64c71db37c78,"or.app.resume: 返回 App -> or.qcksearch: 開啟快速搜尋 -> or.poi.get-details: 載入 POI 詳情 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.app.resume: 返回 App -> or.takeaway.pay: 付款 -> or.myor.orderList: 載入「我的訂單」列表 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> or.poi.get-details: 載入 POI 詳情 -> or.poi.get-reviews: 載入餐廳評論 -> or.poi.review.back: 離開餐廳評論 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.app.resume: 返回 App

"
275540,447732ed-a9da-4a73-8f5b-e8a6fd65ed1e,"or.app.resume: 返回 App -> or.app.start: 開啟 App -> or.qcksearch: 開啟快速搜尋 -> or.search.layer: 搜尋頁面操作 -> or.search.layer.tips: 使用搜尋提示 -> or.poi.get-details: 載入 POI 詳情 -> or.poi.get-overview: 載入 POI 概覽 -> or.app.resume: 返回 App -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> impression.poi: POI 曝光 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.poi.photo.detail: 查看餐廳相片詳情 -> user.share.poi: 分享餐廳 -> or.app.resume: 返回 App -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App -> or.app.resume: 返回 App

"
311131,4d5b5e4a-c1e3-4fb0-8b3e-8523d6398915,"or.app.resume: 返回 App -> or.app.start: 開啟 App -> user.myor: 進入 MyOR/個人中心 -> or.myor.orderList: 載入「我的訂單」列表 -> or.poi.get-details: 載入 POI 詳情 -> or.poi.get-overview: 載入 POI 概覽 -> or.takeaway.order: 進入外賣自取點餐頁 -> or.takeaway.checkout: 前往結帳 -> or.takeaway.place-order: 確認下單 -> or.takeaway.pay: 付款 -> or.app.resume: 返回 App

"
